AID,AName,Description,Benefits,Contraindications,Breathing,awareness,You tube Vdo link,Photo,References,Variations,Level
11,Mushtika Bandhana,"Sit in the base position or a cross-legged pose.
Hold both arms straight in front of the body at shoulder
level.
Open the hands, palms down, and stretch the fingers as
wide apart as possible.
Close the fingers to make a tight fist with the thumbs
inside.
The fingers should be slowly wrapped around the thumbs.
Again open the hands and stretch the fingers.
Repeat 10 times.","This group of asanas is concerned with loosening up the joints
of the body. It is excellent for those debilitated by rheumatism,

arthritis, high blood pressure, heart problems or other ail-
ments where vigorous physical exercise is not advised. It is

particularly useful for eliminating energy blockages in the
joints of the physical body, and for improving coordination,
self-awareness and self-confidence.",,"Inhale on opening the hands.
Exhale on closing the hands.","On the stretching sensation and movement, and
the breath.",,,,,Beginners
12,Manibandha Naman,"Remain in the base position or a cross-legged pose.
Stretch the arms in front of the body at shoulder level.
Keep the palms open and fingers straight throughout the
entire practice.
Bend the hands backward from the wrists as if pressing the
palms against a wall with the fingers pointing toward the
ceiling.
Bend the hands forward from the wrists so that the fingers
point toward the floor.
Keep the elbows straight throughout the practice.
Do not bend the knuckle joints or fingers.
Bend the hands up again for the next round.
Repeat 10 times.","This group of asanas is concerned with loosening up the joints
of the body. It is excellent for those debilitated by rheumatism,

arthritis, high blood pressure, heart problems or other ail-
ments where vigorous physical exercise is not advised. It is

particularly useful for eliminating energy blockages in the
joints of the physical body, and for improving coordination,
self-awareness and self-confidence.",,"Inhale with the backward movement.
Exhale with the fonvard movement.","On the movement in the wrist joint and stretch-
ing of the forearm muscles, and the breath.",,,,,Beginners
13,Manibandha Chakra,"Remain in the base position or a comfortable cross-legged
pose, but keep the back straight.
Stage I: Extend the right arm forward at shoulder level.
Make a loose fist with the right hand, with the thumb
inside.
This is the starting position.
Slowly rotate the fist about the wrist, ensuring that the fist
faces downward throughout the rotation.
The arms and elbows should remain perfectly straight and
still. Make as large a circle as possible.
Practise 10 times clockwise and 10 times anti-clockwise.
Repeat the same with the left fist.
Stage 2: Extend both arms in front of the body with the fists
loosely clenched.
Keep the arms straight and at shoulder level.
Rotate the fists together in the same direction.
Practise 10 times in each direction.
Stage 3: Practise as in stage 2.
Rotate the fists in opposite directions.
Practise 10 times in each direction.","The hand and wrist asanas are beneficial for the
related joints. They also relieve tension caused by
prolonged writing, typing and so on.",,,,,,,,Beginners
14,Kehuni Naman,"Stage I : Remain in the base position or a cross-legged pose.
Stretch the arms in front of the body at shoulder level.
The hands should be open with the palms facing up.
Bend the arms at the elbows and touch the fingers to the
shoulders. Keep the upper arm parallel to the floor.
Straighten the arms again.
This is one round.
Repeat 1 0 times.
Stage 2: Extend the arms sideways at shoulder level, hands
open and palms facing the ceiling.
Bend the arms at the elbows and touch the fingers to the
shoulders. Keep the upper anns parallel to the floor.
Again straighten the arms sideways.
Repeat 1 0 times.","This group of asanas is concerned with loosening up the joints
of the body. It is excellent for those debilitated by rheumatism,

arthritis, high blood pressure, heart problems or other ail-
ments where vigorous physical exercise is not advised. It is

particularly useful for eliminating energy blockages in the
joints of the physical body, and for improving coordination,
self-awareness and self-confidence.",,"Inhale while straightening the anns.
Exhale while bending the anns.","On the movement of the elbow joint and arm
muscles, and the breath.",,,,,Beginners
15,Kehuni Chakra,"Remain in the base position or a cross-legged pose.
Stretch the right arm in front of the body at shoulder level.
The right hand can be open, or loosely closed.
Support the right upper arm with the left hand.
Bend the right arm at the elbow, rotating the elbow joint
so that the lower arm and hand move clockwise.
Keep the upper arm steady and parallel to the floor.
The movement should be smooth. The fingers should
almost touch the right shoulder as they move past.

Practise slowly 10 times clockwise and then 10 times anti-
clockwise.

Gently lower the right arm.
Repeat on the other side.","This group of asanas is concerned with loosening up the joints
of the body. It is excellent for those debilitated by rheumatism,

arthritis, high blood pressure, heart problems or other ail-
ments where vigorous physical exercise is not advised. It is

particularly useful for eliminating energy blockages in the
joints of the physical body, and for improving coordination,
self-awareness and self-confidence.",,"Inhale on the upward stroke.
Exhale on the downward stroke.","On the rotation of the elbow joint with the breath
and on keeping the upper arm steady.",,,,"To begin with, the left hand can support the right
arm just above the elbow, so that the upper arm remains
steady throughout the practice.",Beginners
16,Skandha Chakra,"Stage I: Remain in the base position or a cross-legged pose.
Place the fmgers of the right hand on the right shoulder.
Keep the left hand on the left knee and the back straight.
Rotate the right elbow in a large circle.
Practise 10 times clockwise and 10 times anti-clockwise.
Repeat with the left elbow.
Make sure that the head, trunk and spine remain straight
and still.
Stage 2: Place the fingers of the left hand on the left shoulder
and the fingers of the right hand on the right shoulder.
Fully rotate both elbows at the same time in a large circle.
Try to touch the elbows in front of the chest on the forward
movement and touch the ears while moving up. Stretch
the arms back in the backward movement and touch the
sides of the trunk while coming down.

Practise slowly 1 0 times clockwise and then 1 0 times anti-
clockwise.","The shoulder asanas relieve the strain of driving
and office work, and also help relieve the pressure in
cervical spondylitis and frozen shoulder. They maintain
the shape of the shoulders and chest.",,"Inhale on the upward stroke.
Exhale on the downward stroke.","On the stretching sensation around the shoulder
joint and the breath.",,,,,Beginners
17,Greeva Sanchalana,"Stage I: Sit in a cross-legged pose with the hands resting on
the knees in jnana or chin mudra. Close the eyes.
Slowly move the head fotward and try to touch the chin to
the chest.
Move the head as far back as is comfortable. Do not strain.
Feel the stretch of the muscles in the front and back of the
neck, and the loosening of the vertebrae in the neck.
Practise 1 0 times.  Stage 2: Remain in the same position, keeping the eyes closed.
Face directly fotward.
Relax the shoulders.
Slowly move the head to the right, bringing the right ear
close to the right shoulder without raising the shoulders.
Move the head to the left side and bring the left ear close
to the left shoulder.
Do not strain; touching the shoulder is not necessary.
This is one round. Practise 10 rounds. Stage 3: Remain in the same sitting position.
Keep the head upright and the eyes closed.
Gently turn the head to the right so that the chin is in line
with the right shoulder.
Feel the release of tension in the neck muscles and the
loosening of the neck joints.
Slowly turn the head to the left as far as is comfortable.
Do not strain.
Practise 10 times on each side. Stage 4: Remain in the same position with the eyes closed.
Slowly rotate the head downward, to the right, backward
and then to the left side in a relaxed, smooth, rhythmic,
circular movement.
Feel the shifting stretch around the neck and the loosening
up of the joints and muscles of the neck.
Practise 10 times clockwise and then 10 times anti-clockwise.
Do not strain.
If dizziness occurs, open the eyes and discontinue the
practice for that day.
After the practice, keep the neck straight and the eyes
closed. Be aware of the sensations in the head and neck.","All the nerves connecting the different organs and
limbs of the body pass through the neck. Therefore, the
muscles of the neck and shoulders accumulate tension,
especially after prolonged work at a desk. These asanas
release tension, heaviness and stiffness in the head, neck
and shoulder region.","These four neck movements should not
be performed by elderly people and those suffering from

low blood pressure, high blood pressure, vertigo or ex-
treme cervical spondylosis. Expert advice should be sought

for any of these problems. Cervical spondylosis patients
should strictly avoid fotward bending of the neck.","Inhale on the backward movement.
Exhale on the fotward movement. Inhale on the upward movement.
Exhale on the downward movement. Inhale while turning to the front.
Exhale while turning to the side. Inhale as the head moves up.
Exhale as the head moves down.","On the stretching sensation of the muscles in the
sides of the neck, and the breath. On the movement and the breath.",,,,,Beginners
18,Padotthanasana,"Stage I : Lie in the starting position with the palms flat on the floor. Inhale and raise the right leg as high as is comfortable, keeping it straight and the foot relaxed. The left leg should remain straight and in contact with the floor. Hold the posture for 3 to 5 seconds while retaining the breath. Exhale and slowly lower the leg to the floor. This is one round. Practise 10 rounds with the right leg and then 1 0 rounds with the left leg. If the back is weak, the left leg can be bent so that the foot is flat on the floor and the knee is up. 

Stage 2: This may be repeated raising both legs together, but do not strain. Be aware that this is a more strenuous practice. Do not lift the buttocks off the floor.","This asana strengthens the abdominal muscles and massages the organs. It strengthens the digestive system, lower back, pelvic and perineal muscles and helps correct prolapse.",Not to be performed by persons suffer­ing from high blood pressure or serious back conditions such as sciatica and slipped disc.,"Inhale while raising the leg(s). Hold the posture and the breath. Exhale while lowering the leg(s).
Inhale in the starting position. Hold the breath in while raising the legs. Exhale while lowering the legs. ","On the stretch in the legs and synchronizing the movement with the breath.
On the stretch in the legs, the muscular effort in the back and abdomen, and synchronizing the movement with the breath. ",,,,,Beginners
19,Padachakrasana,"Stage I : Lie in the starting position and relax. Raise the right leg 5 em from the ground, keeping the knee straight. Rotate the entire leg clockwise 10 times in as large a circle as comfortable. The heel should not touch the floor at any time during the rotation. Rotate 10 times anti-clockwise. Repeat with the left leg, first clockwise, then anti-clockwise. Do not strain. Rest and practise abdominal breathing until the respiration returns to normal. Stage 2: This may be repeated raising both legs together, but do not strain. Be aware that this is a more strenuous practice. Keep the legs together and straight throughout the practice. Rotate both legs clockwise and then anti-clockwise 3 to 5 times. The circular movement should be as large as possible.","Good for the hip joints, obesity, toning of the abdominal and spinal muscles.",Not to be performed by persons suffering from high blood pressure or serious back conditions such as sciatica and slipped disc.,Inhale while moving the leg(s) upwards. Exhale while lowering the leg(s).,"On the rotation of the leg(s), the effects of the asana on the hips and abdomen, and synchronizing the movements with the breath.",,,,,Beginners
20,Pada Sanchalanasana,"Stage I : Lie in the starting position and relax. Raise the right leg. Bend the knee and bring the thigh to the chest. Raise and straighten the leg completely. Then lower the straight leg in a forward movement. Bend the knee and bring it back to the chest to complete the cycling movement. The heel should not touch the floor during the movement. Practise 1 0 times in a forward direction and then 1 0 times in reverse. Repeat with the left leg.
Stage 2: Raise both legs. Practise alternate cycling movements as though peddling a bicycle. Practise 10 times forward and then 10 times backward.
Stage 3: Raise both legs and keep them together throughout the practice. Bring the knees as close as possible to the chest on the backward movement and straighten the legs fully on  the forward movement. Slowly lower the legs together, keeping the knees straight, until the legs are just above the floor. Then bend the knees and bring them back to the chest. Practise 3 to 5 forward cycling movements and the same in reverse. Do not strain.",Good for hip and knee joints. Strengthens abdominal and lower back muscles.,Not to be performed by persons suffering from high blood pressure or serious back conditions such as sciatica and slipped disc.,"Inhale while straightening the leg. Exhale while bending the knee and bringing the thigh to the chest.
Breathe normally throughout. 
Inhale while straightening the legs. Exhale while bending the legs to the chest. ","On the smoothness of the movement and proper coordination, especially while reverse cycling. \,y}]en relax­ing, be aware of the abdomen, hip, thighs and lower back, and the breath.",,,,,Beginners
21,Supta Pawanmuktasana,"Stage I: Lie in the starting position and relax. Bend the right knee and bring the thigh to the chest. Interlock the fingers and clasp the hands on the shin just below the right knee. Keep the left leg straight and on the ground. Inhale deeply, filling the lungs as much as possible. Exhaling, raise the head and shoulders off the ground and without straining bring the right knee to the nose. Remain in the final position for a few seconds. While slowly inhaling, return to the base position. Relax the body. Repeat 3 times with the right leg and then 3 times with the left leg.
Stage 2: Remain in the starting position. Bend both knees and bring the thighs to the chest. Interlock the fingers  and clasp the  hands on  the  shin bones just below the knees. Inhale deeply. Exhaling, raise the head and shoulders and try to  place the nose in the space· between the two knees. Hold the raised position for  a  few seconds, counting mentally. Slowly lower the head, shoulders and legs while inhaling. Practise this 3 times.","Supta pawanmuktasana strengthens the lower back muscles and loosens the spinal vertebrae. It massages the abdomen and the digestive organs and is therefore very effective in removing wind and constipation. By massaging the pelvic muscles and reproductive organs, it is also useful for impotence, sterility and menstrual problems.",Not to be performed by persons suffering from high blood pressure or serious back conditions such as sciatica and slipped disc.,,"On the movement, the abdominal pressure, and the breath.",,,,,Beginners
22,Jhulana Lurhakanasana,"Stage I : Lie flat on the back. Bend both legs to the chest. Interlock the fingers of both hands and clasp them around the shins just below the knees. This is the starting position. Roll the body from side to side 5 to 1 0 times, touching the side of the legs on the floor.
Stage 2: Sit  in the  squatting position with the  buttocks just above the floor. Interlock the fingers of both hands and clasp them around the shins just below the knees","This asana massages the back, buttocks and hips. It is most useful if done first thing in the morning after waking.",Not to be performed by persons with serious back conditions.,Inhale as you roll backwards. Exhale as you come fotward.,On the coordination of movement.,,,,,Beginners
23,Supta Udarakarshanasana,"Lie in the starting position and relax. Bend the knees and place the soles of both fe et flat on the floor, directly in front of the buttocks. Keep the knees and fe et together throughout the practice. Interlock the fingers of both hands, place the palms under the back of the head and let the elbows touch the floor. Breathe in, and while breathing out, slowly lower the legs to  the right, trying to bring the knees down to the floor. The fe et should remain in contact with each other, although the left fo ot will  move slightly off the  floor. At the same time, gently turn the head and neck in  the  opposite direction to  the  legs.  This  will  give  a uniform twisting stretch to  the entire spine. Hold the breath in the final position while mentally counting three seconds. While breathing in, raise both legs to the upright position. Keep the shoulders and elbows on the floor throughout. Repeat on the left side to complete one round. Practise 5 complete rounds. ","This asana gives an excellent stretch to the abdominal muscles and organs, and thereby helps to improve diges­tion and eliminate constipation. The twisting stretch of the spinal muscles relieves the strain and stiffness caused by prolonged sitting. The distance of the feet from the buttocks determines the placement of the spinal twist. If the feet are about 60 em from the buttocks, the adjustment is in the lower area of the spine. As the feet approach the buttocks, the adjustment rises up the spine. When the feet are next to the buttocks, the adjustment is in the area of the cardiac plexus. Ther­efore, moving the feet about 3 em each time works on each vertebra, bringing suppleness to the whole spinal column.",,Exhale while lowering the legs to the sides. Hold the breath in the final position. Inhale while raising the legs.,"On the twisting stretch of the paraspinal and abdominal muscles, and the breath,",,,,"Bend the knees and bring the thighs up to the chest. Interlock the fingers and place them behind the head. Roll the body from side to side, keeping the elbows on the floor.",Beginners
24,Shava Udarakarshanasana,"Lie in the starting position with the legs and feet together. Stretch the arms out to the sides at shoulder level with the palms of the hands facing down. Bend the right leg and place the sole of the foot beside the left kneecap. Place the left hand on top of the right knee. This is the starting position. Gently bring the right knee down towards the floor on the left side of the body, keeping the leg bent and the foot in contact with the left knee. Turn the head to the right, looking along the straight arm, and gaze at the middle finger of the right hand. The left hand should be on the right knee and the right arm and shoulder should remain in contact with the floor. In the final position, the head should be turned in the opposite direction to the fo lded knee and the other leg should remain straight. Hold the position for as long as is comfortable. Return to the starting position, bringing the head and knee to the centre. Stretch the right arm out to the side and straighten the right leg. Repeat on the opposite side. Practise once to each side, gradually extending the holding time.","Tightness and tiredness are relieved, especially in the lower back. The pelvic and abdominal organs are toned through its massaging action.",This asana can realign the hip joint. It should be stopped if the practice is painful.,"Inhale in the starting position. Exhale while pushing the knee towards the floor and turning the head.
Breathe deeply and slowly in the final position. Inhale while centring the body and exhale while straight­ening the leg. ","On the relaxation of the back, arms and shoulders, and the breath.",,,,,Beginners
25,Naukasana,"Lie in the starting position. Keep the eyes open throughout. Breathe in deeply. Hold the breath and then raise the legs, arms, shoulders, head and trunk off the ground. The shoulders and feet should be no more than 15 em off the floor. Balance the body on the buttocks and keep the spine straight. The arms should be held at the same level and in line with the toes. The hands should be open with the palms down. Look towards the toes. Remain in the final position and hold the breath. Count to 5 mentally (or for longer if possible). Breathe out and return to the supine position. Be careful not to injure the back of the head while returning to the floor. Relax the whole body. This is one round. Practise 3 to 5 rounds. Relax in shavasana after each round, gently pushing out the abdomen with inhalation to relax the stomach muscle","This asana stimulates the muscular, digestive, circu­latory, nervous and hormonal systems, tones all the organs and removes lethargy. It is especially useful fo r eliminating nervous tension and bringing about deep relaxation. It may be performed before shavasana in order to attain a deeper state of relaxation. If practised upon waking, it immediately restores freshness. It is also useful fo r women preparing for childbearing and may be practised during the second trimester of pregnancy.",,"Inhale before raising the body. Retain the breath while raising, tensing and lowering the body. Exhale as you return to the starting position.","On the movement, mental counting and tensing of the body (especially the abdominal muscles) in the final position, and the breath.",,,,"Repeat the same process as above, but clench the fists and tense the whole body as much as possible in the raised position.",Beginners
26,Rajju Karshanasana,"Sit on the floor with the legs straight and together. Keep the eyes open. Imagine that there is a rope hanging in front of the body. Breathe in while reaching up with the right hand as though to grasp the rope at a higher point. Keep the elbow straight. Look upward. While breathing out, slowly pull the right arm down, putting power into it as though pulling the rope downwards. Let the eyes follow the downward movement of the hand. Repeat with the left hand and arm to complete the first round. Both arms do not move at the same time. Practise 10 rounds.",This asana loosens the shoulder joints and stretches the upper back muscles. It firms the breast and develops the muscles of the chest.,,Inhale while raising the arm. Exhale while lowering the arm.,"On the movement and stretch of the upper back and shoulder muscles, and the breath.",,,,,Beginners
27,Gatyatmak Meru Vakrasana,"Sit on the floor with both legs outstretched. Separate the legs as far apart as comfortable. Do not allow the knees to bend. Stretch the arms sideways at shoulder level. Keeping the arms straight, twist to the left and bring the right hand down towards the left big toe. Stretch the straight left arm behind the back as the trunk twists to the left. Keep both arms in one straight line. Turn the head to the left and gaze at the left outstretched hand. Twist in the opposite direction and bring the left hand down towards the right big toe. Stretch the straight right arm behind the back. Turn the head to the right and gaze at the right outstretched hand. This is one round. Practise I 0 rounds. Start slowly and then gradually increase the speed.",This asana removes stiffness of the back and increases flexibility of the spine.,People with back conditions should avoid this asana.,To give maximum flexion of the spine: exhale when twisting and inhale when returning to the centre.,"On the twisting movement and the effect on the spinal vertebrae and muscles, and the breath.",,,,,Beginners
28,Chakki Chalanasana,"Sit with the legs stretched out in front of the body with the fe et widely separated. Interlock the fingers of both hands and hold the arms out straight in front of the chest. Keep the arms straight and horizontal throughout the practice; do not bend the elbows. Bend forward as far as possible without straining. Imagine the action of churning a mill with an old-fashioned stone grinder. Swivel to the right so that the hands pass above the right toes and as far to the right as possible without straining. Lean back as fa r as possible on the backward swing. Try to move the body from the waist. On the forward swing, bring the arms and hands to the left side, over the left toes and then back to the centre position. One rotation is one round. Practise 5 to 10 rounds clockwise and then the same number of rounds anti-clockwise.",This asana is excellent for toning the nerves and organs of the pelvis and abdomen. It is very useful for regulating the menstrual cycle and may be performed during the first three months of pregnancy. It is also an excellent exercise for postnatal recovery.,,Inhale while leaning back. Exhale while moving forward.,"On the movement and sensations in the lower back, hips and pelvic area, and the breath.",,,,,Beginners
29,Nauka Sanchalanasana,"Sit with both legs straight in front of the body. Imagine the action of rowing a boat. Clench the hands as though grasping oars, with the pahns facing down. Breathe out and bend forward from the waist as far as is comfortable, straightening the arms. Breathing in, lean back as fa r as possible, drawing the hands back towards the shoulders. This is one round. The hands should make a complete circular movement in every round, moving up the sides of the legs and trunk. The legs should be kept straight throughout. Practise 5 to 1 0 rounds. Reverse the direction of the rowing movement as though going in the opposite direction. Practise 5 to 1 0 times.",This asana has a positive effect on the pelvis and abdomen and releases energy blockages in these areas. It is especially useful for gynaecological disorders and post­natal recovery. It also removes constipation.,,Inhale while leaning back. Exhale while bending fo rward.,"On the movement and sensations in the lower back, hips and pelvic area, and the breath.",,,,,Beginners
30,Kashtha Takshanasana,"Squat with the feet flat on the floor about 45 an apart. The knees should be fully bent and separated. Clasp the fingers of both hands together and place them just above the floor between the feet. Straighten the arms and keep them straight throughout the practice. The elbows should be inside the knees. The eyes should remain open. Imagine the action of chopping wood. Raise the arms above and behind the head, stretching the spine upward. Look up towards the hands. Make a downward stroke with the arms, as if chopping wood. Expel the breath making a 'Hal' sound. The hands should return near the floor in between the feet. This is one round. Practise 5 to 1 0 rounds.","This asana loosens up the pelvic girdle and tones the pelvic muscles. It also has a special effect on the usually inaccessible muscles of the back between the shoulder blades, as well as the shoulder joints and upper back muscles. It helps io release frustration and lighten the mood.",Not for people with knee problems or sciatica.,Inhale while raising the arms. Exhale while lowering the arms.,"On the movement and stretch of the shoulder and upper back muscles, and the breath.",,,,,Beginners
